round,r2_pop,r2_life,mae_pop,mae_life,rmse_pop,rmse_life,kd_used,validation_protocol
1,0.9917309759925068,0.9460616613861688,6477974.806634491,1.2265004661645322,13756849.06999591,1.73810736656754,False,strict_temporal_oof
2,0.9917309759925068,0.9460616613861688,6477974.806634491,1.2265004661645322,13756849.06999591,1.73810736656754,False,strict_temporal_oof
3,0.9917309759925068,0.9460616613861688,6477974.806634491,1.2265004661645322,13756849.06999591,1.73810736656754,False,strict_temporal_oof
4,0.9917309759925068,0.9460616613861688,6477974.806634491,1.2265004661645322,13756849.06999591,1.73810736656754,False,strict_temporal_oof
5,0.9917309759925068,0.9460616613861688,6477974.806634491,1.2265004661645322,13756849.06999591,1.73810736656754,False,strict_temporal_oof
6,0.9917309759925068,0.9460616613861688,6477974.806634491,1.2265004661645322,13756849.06999591,1.73810736656754,False,strict_temporal_oof
7,0.9917309759925068,0.9460616613861688,6477974.806634491,1.2265004661645322,13756849.06999591,1.73810736656754,False,strict_temporal_oof
8,0.9917309759925068,0.9460616613861688,6477974.806634491,1.2265004661645322,13756849.06999591,1.73810736656754,False,strict_temporal_oof
9,0.9917309759925068,0.9460616613861688,6477974.806634491,1.2265004661645322,13756849.06999591,1.73810736656754,False,strict_temporal_oof
10,0.9917309759925068,0.9460616613861688,6477974.806634491,1.2265004661645322,13756849.06999591,1.73810736656754,False,strict_temporal_oof
