Method,Pop Train R²,Pop Test R²,Life Train R²,Life Test R²,Pop R² Gap,Life R² Gap,Pop Train RMSE (M),Pop Test RMSE (M),Pop RMSE Gap (M)
Federated Ensemble (Baseline),0.5431381979144109,0.5243329525906227,0.9797650019382532,0.9359533107639985,0.0188,0.0438,92.99490717803675,104.33820936172735,-11.3433
FedStack (Proposed),0.9457872335817546,0.9583058217546512,0.9831203260589784,0.9488887595658806,-0.0125,0.0342,32.03446871725096,30.89082843887215,1.1436
FedStack+KD (Ablation),0.944989012755616,0.9676385652808762,0.9831203260589784,0.9488887595658806,-0.0226,0.0342,32.26944235929513,27.214836521753345,5.0546
Centralized (Upper Bound),0.9970430381065944,0.9506059831758099,0.9923906834357955,0.9679769310247621,0.0464,0.0244,7.481515928601276,33.62242386214555,-26.1409
