Method,Pop R²,Pop RMSE,Pop WMAPE,Life R²,Life RMSE,Life MAE
Federated Ensemble (Baseline),0.6775580473039466,85.90M,0.3201,0.9359533107639985,1.8940yr,1.3206yr
FedStack (Proposed),0.9861242767288412,17.82M,0.2076,0.9488887595658806,1.6919yr,1.1031yr
FedStack+KD (Ablation),0.9861242767288412,17.82M,0.2076,0.9488887595658806,1.6919yr,1.1031yr
Centralized (Upper Bound),0.9953821202319512,10.28M,0.0506,0.9603201692846397,1.4908yr,1.1479yr
