Method,Pop Train R²,Pop Test R²,Life Train R²,Life Test R²,Pop R² Gap,Life R² Gap,Pop Train RMSE (M),Pop Test RMSE (M),Pop RMSE Gap (M)
Federated Ensemble (Baseline),0.7111949032030305,0.6775580473039466,0.9797650019382532,0.9359533107639985,0.0336,0.0438,73.93825006670892,85.90483686104663,-11.9666
FedStack (Proposed),0.9863257584355088,0.9861242767288412,0.9831203260589784,0.9488887595658806,0.0002,0.0342,16.088604098832317,17.820490808263234,-1.7319
FedStack+KD (Ablation),0.9863257584355088,0.9861242767288412,0.9831203260589784,0.9488887595658806,0.0002,0.0342,16.088604098832317,17.820490808263234,-1.7319
Centralized (Upper Bound),0.9998901943269954,0.9953821202319512,0.991726457435231,0.9603201692846397,0.0045,0.0314,1.4417140475082604,10.28047442030741,-8.8388
