Method,Pop Train R²,Pop Test R²,Life Train R²,Life Test R²,Pop R² Gap,Life R² Gap,Pop Train RMSE (M),Pop Test RMSE (M),Pop RMSE Gap (M)
Federated Ensemble (Baseline),0.5002566412078262,0.42575429478220217,0.8647214298750464,0.8393755149505011,0.0745,0.0253,97.26134179909849,114.64120017611583,-17.3799
FedStack (Proposed),0.9957408148441946,0.9503744140683743,0.9692073876007594,0.9413800615023313,0.0454,0.0278,8.979041961029262,33.70114605389878,-24.7221
FedStack+KD (Ablation),0.9921634112894305,0.9461851630015955,0.9692073876007594,0.9413800615023313,0.046,0.0278,12.17952267024183,35.09480718730513,-22.9153
Centralized (Single),0.99727189236565,0.9596996730108084,0.991726457435231,0.9603201692846397,0.0376,0.0314,7.186170075801405,30.37009364883929,-23.1839
