Method,Pop Train R²,Pop Test R²,Life Train R²,Life Test R²,Pop R² Gap,Life R² Gap,Pop Train RMSE (M),Pop Test RMSE (M),Pop RMSE Gap (M)
Federated Ensemble (Baseline),0.5431381979144109,0.5243329525906227,0.9797650019382532,0.9359533107639985,0.0188,0.0438,92.99490717803675,104.33820936172735,-11.3433
FedStack (Proposed),0.9457872335817546,0.9583058217546512,0.9831203260589784,0.9488887595658806,-0.0125,0.0342,32.03446871725096,30.89082843887215,1.1436
FedStack+KD (Ablation),0.9316687775952579,0.9513809684545407,0.9831203260589784,0.9488887595658806,-0.0197,0.0342,35.964691228284,33.35761546841822,2.6071
Centralized (Single),0.99727189236565,0.9596996730108084,0.991726457435231,0.9603201692846397,0.0376,0.0314,7.186170075801405,30.37009364883929,-23.1839
