alpha_pop,alpha_life,oof_rows,oof_pop_r2,oof_life_r2,test_pop_r2,test_life_r2,test_pop_mae_M,test_life_mae,test_pop_rmse_M,test_life_rmse,train_pop_r2,train_life_r2,pop_gap,life_gap,status_pop,status_life,score
0.26,0.3,3591,0.9538739591755223,0.9723789605653835,0.9884064197930343,0.9469561665482166,7.662759544447176,1.0690546393355806,16.28923285481295,1.7236348598235547,0.984701813459364,0.9791104786499663,-0.0037046063336703128,0.03215431210174968,OK,OK,1.9246643771883507
0.28,0.3,3591,0.9527523518475455,0.9723789605653835,0.9882387555984591,0.9469561665482166,7.970167967710979,1.0690546393355806,16.406595980701585,1.7236348598235547,0.9834612235743573,0.9791104786499663,-0.004777532024101805,0.03215431210174968,OK,OK,1.9244964055853522
0.22,0.3,3591,0.9526479351153289,0.9723789605653835,0.9865696397508525,0.9469561665482166,8.772012303218085,1.0690546393355806,17.532170164463388,1.7236348598235547,0.9836334049984466,0.9791104786499663,-0.0029362347524058974,0.03215431210174968,OK,OK,1.9228264878934103
0.24,0.3,3591,0.9524313645687071,0.9723789605653835,0.9862825488460235,0.9469561665482166,8.772365693896045,1.0690546393355806,17.71856545786061,1.7236348598235547,0.9824445283397018,0.9791104786499663,-0.00383802050632176,0.03215431210174968,OK,OK,1.9225393966351905
0.3,0.3,3591,0.9532001627198476,0.9723789605653835,0.9862402070560323,0.9469561665482166,8.58678787592015,1.0690546393355806,17.745890422276965,1.7236348598235547,0.981243101434746,0.9791104786499663,-0.004997105621286302,0.03215431210174968,OK,OK,1.9224972404230174
