Method,Pop R²,Pop RMSE,Pop WMAPE,Life R²,Life RMSE,Life MAE
Federated Ensemble (Baseline),0.5243329525906227,104.34M,0.3814,0.9359533107639985,1.8940yr,1.3206yr
FedStack (Proposed),0.9583058217546512,30.89M,0.2540,0.9488887595658806,1.6919yr,1.1031yr
FedStack+KD (Ablation),0.9513809684545407,33.36M,0.3279,0.9488887595658806,1.6919yr,1.1031yr
"Centralized (Single, Upper Bound)",0.9596996730108084,30.37M,0.0818,0.9603201692846397,1.4908yr,1.1479yr
