setting,t_stat,p_value,cohens_d,p_value_fmt,significant
IID,-12.814881602211221,1.0,-0.5381744412434188,1.0000,❌ No
Non-IID,-6.783896049570151,0.9999999999852293,-0.28489685502066425,1.0000,❌ No
