Method,Pop Train R²,Pop Test R²,Life Train R²,Life Test R²,Pop R² Gap,Life R² Gap,Pop Train RMSE (M),Pop Test RMSE (M),Pop RMSE Gap (M)
Federated Ensemble (Baseline),0.5002566412078262,0.42575429478220217,0.8647214298750464,0.8393755149505011,0.0745,0.0253,97.26134179909849,114.64120017611583,-17.3799
FedStack (Proposed),0.9957408148441946,0.9503744140683743,0.9692073876007594,0.9413800615023313,0.0454,0.0278,8.979041961029262,33.70114605389878,-24.7221
FedStack+KD (Ablation),0.9939649917455488,0.9326978975959794,0.9692073876007594,0.9413800615023313,0.0613,0.0278,10.688227155840597,39.246972558146304,-28.5587
Centralized (Upper Bound),0.9970430381065944,0.9506059831758099,0.9923906834357955,0.9679769310247621,0.0464,0.0244,7.481515928601276,33.62242386214555,-26.1409
